GCA_049744075.1_ASM4974407v1	GCA_049744075.1_ASM4974407v1	0
GCA_049744355.1_ASM4974435v1	GCA_049745395.1_ASM4974539v1	55
GCA_049744415.1_ASM4974441v1	GCA_049744075.1_ASM4974407v1	58
GCA_049744415.1_ASM4974441v1	GCA_049744095.1_ASM4974409v1	0
GCA_049744415.1_ASM4974441v1	GCA_049744115.1_ASM4974411v1	68
GCA_049744415.1_ASM4974441v1	GCA_049744195.1_ASM4974419v1	55
GCA_049744415.1_ASM4974441v1	GCA_049744215.1_ASM4974421v1	51
GCA_049744415.1_ASM4974441v1	GCA_049744235.1_ASM4974423v1	0
GCA_049744415.1_ASM4974441v1	GCA_049744295.1_ASM4974429v1	58
GCA_049744415.1_ASM4974441v1	GCA_049744305.1_ASM4974430v1	36
GCA_049744415.1_ASM4974441v1	GCA_049744355.1_ASM4974435v1	0
GCA_049744415.1_ASM4974441v1	GCA_049744415.1_ASM4974441v1	0
GCA_049744415.1_ASM4974441v1	GCA_049744425.1_ASM4974442v1	0
GCA_049744415.1_ASM4974441v1	GCA_049744475.1_ASM4974447v1	0
GCA_049744415.1_ASM4974441v1	GCA_049744535.1_ASM4974453v1	51
GCA_049744415.1_ASM4974441v1	GCA_049744555.1_ASM4974455v1	0
GCA_049744415.1_ASM4974441v1	GCA_049744575.1_ASM4974457v1	0
GCA_049744415.1_ASM4974441v1	GCA_049744655.1_ASM4974465v1	0
GCA_049744415.1_ASM4974441v1	GCA_049744675.1_ASM4974467v1	0
GCA_049744415.1_ASM4974441v1	GCA_049744695.1_ASM4974469v1	0
GCA_049744415.1_ASM4974441v1	GCA_049744775.1_ASM4974477v1	0
GCA_049744415.1_ASM4974441v1	GCA_049744795.1_ASM4974479v1	1
GCA_049744415.1_ASM4974441v1	GCA_049744815.1_ASM4974481v1	53
GCA_049744415.1_ASM4974441v1	GCA_049744875.1_ASM4974487v1	0
GCA_049744415.1_ASM4974441v1	GCA_049744915.1_ASM4974491v1	58
GCA_049744415.1_ASM4974441v1	GCA_049744935.1_ASM4974493v1	57
GCA_049744415.1_ASM4974441v1	GCA_049744995.1_ASM4974499v1	48
GCA_049744415.1_ASM4974441v1	GCA_049745015.1_ASM4974501v1	49
GCA_049744415.1_ASM4974441v1	GCA_049745055.1_ASM4974505v1	55
GCA_049744415.1_ASM4974441v1	GCA_049745115.1_ASM4974511v1	54
GCA_049744415.1_ASM4974441v1	GCA_049745135.1_ASM4974513v1	61
GCA_049744415.1_ASM4974441v1	GCA_049745155.1_ASM4974515v1	53
GCA_049744415.1_ASM4974441v1	GCA_049745215.1_ASM4974521v1	61
GCA_049744415.1_ASM4974441v1	GCA_049745255.1_ASM4974525v1	60
GCA_049744415.1_ASM4974441v1	GCA_049745275.1_ASM4974527v1	60
GCA_049744415.1_ASM4974441v1	GCA_049745315.1_ASM4974531v1	63
GCA_049744415.1_ASM4974441v1	GCA_049745375.1_ASM4974537v1	58
GCA_049744415.1_ASM4974441v1	GCA_049745395.1_ASM4974539v1	55
GCA_049744425.1_ASM4974442v1	GCA_049744075.1_ASM4974407v1	58
GCA_049744425.1_ASM4974442v1	GCA_049744095.1_ASM4974409v1	0
GCA_049744425.1_ASM4974442v1	GCA_049744115.1_ASM4974411v1	68
GCA_049744425.1_ASM4974442v1	GCA_049744195.1_ASM4974419v1	55
GCA_049744425.1_ASM4974442v1	GCA_049744215.1_ASM4974421v1	51
GCA_049744425.1_ASM4974442v1	GCA_049744235.1_ASM4974423v1	0
GCA_049744425.1_ASM4974442v1	GCA_049744295.1_ASM4974429v1	58
GCA_049744425.1_ASM4974442v1	GCA_049744305.1_ASM4974430v1	36
GCA_049744425.1_ASM4974442v1	GCA_049744355.1_ASM4974435v1	0
GCA_049744425.1_ASM4974442v1	GCA_049744415.1_ASM4974441v1	0
GCA_049744425.1_ASM4974442v1	GCA_049744425.1_ASM4974442v1	0
GCA_049744425.1_ASM4974442v1	GCA_049744475.1_ASM4974447v1	0
GCA_049744425.1_ASM4974442v1	GCA_049744535.1_ASM4974453v1	51
GCA_049744425.1_ASM4974442v1	GCA_049744555.1_ASM4974455v1	0
GCA_049744425.1_ASM4974442v1	GCA_049744575.1_ASM4974457v1	0
GCA_049744425.1_ASM4974442v1	GCA_049744655.1_ASM4974465v1	0
GCA_049744425.1_ASM4974442v1	GCA_049744675.1_ASM4974467v1	0
GCA_049744425.1_ASM4974442v1	GCA_049744695.1_ASM4974469v1	0
GCA_049744425.1_ASM4974442v1	GCA_049744775.1_ASM4974477v1	0
GCA_049744425.1_ASM4974442v1	GCA_049744795.1_ASM4974479v1	1
GCA_049744425.1_ASM4974442v1	GCA_049744815.1_ASM4974481v1	53
GCA_049744425.1_ASM4974442v1	GCA_049744875.1_ASM4974487v1	0
GCA_049744425.1_ASM4974442v1	GCA_049744915.1_ASM4974491v1	58
GCA_049744425.1_ASM4974442v1	GCA_049744935.1_ASM4974493v1	57
GCA_049744425.1_ASM4974442v1	GCA_049744995.1_ASM4974499v1	48
GCA_049744425.1_ASM4974442v1	GCA_049745015.1_ASM4974501v1	49
GCA_049744425.1_ASM4974442v1	GCA_049745055.1_ASM4974505v1	55
GCA_049744425.1_ASM4974442v1	GCA_049745115.1_ASM4974511v1	54
GCA_049744425.1_ASM4974442v1	GCA_049745135.1_ASM4974513v1	61
GCA_049744425.1_ASM4974442v1	GCA_049745155.1_ASM4974515v1	53
GCA_049744425.1_ASM4974442v1	GCA_049745215.1_ASM4974521v1	61
GCA_049744425.1_ASM4974442v1	GCA_049745255.1_ASM4974525v1	60
GCA_049744425.1_ASM4974442v1	GCA_049745275.1_ASM4974527v1	60
GCA_049744425.1_ASM4974442v1	GCA_049745315.1_ASM4974531v1	63
GCA_049744425.1_ASM4974442v1	GCA_049745375.1_ASM4974537v1	58
GCA_049744425.1_ASM4974442v1	GCA_049745395.1_ASM4974539v1	55
GCA_049744475.1_ASM4974447v1	GCA_049744075.1_ASM4974407v1	58
GCA_049744475.1_ASM4974447v1	GCA_049744095.1_ASM4974409v1	0
GCA_049744475.1_ASM4974447v1	GCA_049744115.1_ASM4974411v1	68
GCA_049744475.1_ASM4974447v1	GCA_049744195.1_ASM4974419v1	55
GCA_049744475.1_ASM4974447v1	GCA_049744215.1_ASM4974421v1	51
GCA_049744475.1_ASM4974447v1	GCA_049744235.1_ASM4974423v1	0
GCA_049744475.1_ASM4974447v1	GCA_049744295.1_ASM4974429v1	58
GCA_049744475.1_ASM4974447v1	GCA_049744305.1_ASM4974430v1	36
GCA_049744475.1_ASM4974447v1	GCA_049744355.1_ASM4974435v1	0
GCA_049744475.1_ASM4974447v1	GCA_049744415.1_ASM4974441v1	0
GCA_049744475.1_ASM4974447v1	GCA_049744425.1_ASM4974442v1	0
GCA_049744475.1_ASM4974447v1	GCA_049744475.1_ASM4974447v1	0
GCA_049744475.1_ASM4974447v1	GCA_049744535.1_ASM4974453v1	51
GCA_049744475.1_ASM4974447v1	GCA_049744555.1_ASM4974455v1	0
GCA_049744475.1_ASM4974447v1	GCA_049744575.1_ASM4974457v1	0
GCA_049744475.1_ASM4974447v1	GCA_049744655.1_ASM4974465v1	0
GCA_049744475.1_ASM4974447v1	GCA_049744675.1_ASM4974467v1	0
GCA_049744475.1_ASM4974447v1	GCA_049744695.1_ASM4974469v1	0
GCA_049744475.1_ASM4974447v1	GCA_049744775.1_ASM4974477v1	0
GCA_049744475.1_ASM4974447v1	GCA_049744795.1_ASM4974479v1	1
GCA_049744475.1_ASM4974447v1	GCA_049744815.1_ASM4974481v1	53
GCA_049744475.1_ASM4974447v1	GCA_049744875.1_ASM4974487v1	0
GCA_049744475.1_ASM4974447v1	GCA_049744915.1_ASM4974491v1	58
GCA_049744475.1_ASM4974447v1	GCA_049744935.1_ASM4974493v1	57
GCA_049744475.1_ASM4974447v1	GCA_049744995.1_ASM4974499v1	48
GCA_049744475.1_ASM4974447v1	GCA_049745015.1_ASM4974501v1	49
GCA_049744475.1_ASM4974447v1	GCA_049745055.1_ASM4974505v1	55
GCA_049744475.1_ASM4974447v1	GCA_049745115.1_ASM4974511v1	54
GCA_049744475.1_ASM4974447v1	GCA_049745135.1_ASM4974513v1	61
GCA_049744475.1_ASM4974447v1	GCA_049745155.1_ASM4974515v1	53
GCA_049744475.1_ASM4974447v1	GCA_049745215.1_ASM4974521v1	61
GCA_049744475.1_ASM4974447v1	GCA_049745255.1_ASM4974525v1	60
GCA_049744475.1_ASM4974447v1	GCA_049745275.1_ASM4974527v1	60
GCA_049744475.1_ASM4974447v1	GCA_049745315.1_ASM4974531v1	63
GCA_049744475.1_ASM4974447v1	GCA_049745375.1_ASM4974537v1	58
GCA_049744475.1_ASM4974447v1	GCA_049745395.1_ASM4974539v1	55
GCA_049744535.1_ASM4974453v1	GCA_049744075.1_ASM4974407v1	31
GCA_049744535.1_ASM4974453v1	GCA_049744095.1_ASM4974409v1	51
GCA_049744535.1_ASM4974453v1	GCA_049744115.1_ASM4974411v1	73
GCA_049744535.1_ASM4974453v1	GCA_049744195.1_ASM4974419v1	52
GCA_049744535.1_ASM4974453v1	GCA_049744215.1_ASM4974421v1	48
GCA_049744535.1_ASM4974453v1	GCA_049744235.1_ASM4974423v1	51
GCA_049744535.1_ASM4974453v1	GCA_049744295.1_ASM4974429v1	53
GCA_049744535.1_ASM4974453v1	GCA_049744305.1_ASM4974430v1	49
GCA_049744535.1_ASM4974453v1	GCA_049744355.1_ASM4974435v1	51
GCA_049744535.1_ASM4974453v1	GCA_049744415.1_ASM4974441v1	51
GCA_049744535.1_ASM4974453v1	GCA_049744425.1_ASM4974442v1	51
GCA_049744535.1_ASM4974453v1	GCA_049744475.1_ASM4974447v1	51
GCA_049744535.1_ASM4974453v1	GCA_049744535.1_ASM4974453v1	0
GCA_049744535.1_ASM4974453v1	GCA_049744555.1_ASM4974455v1	51
GCA_049744535.1_ASM4974453v1	GCA_049744575.1_ASM4974457v1	51
GCA_049744535.1_ASM4974453v1	GCA_049744655.1_ASM4974465v1	51
GCA_049744535.1_ASM4974453v1	GCA_049744675.1_ASM4974467v1	51
GCA_049744535.1_ASM4974453v1	GCA_049744695.1_ASM4974469v1	51
GCA_049744535.1_ASM4974453v1	GCA_049744775.1_ASM4974477v1	51
GCA_049744535.1_ASM4974453v1	GCA_049744795.1_ASM4974479v1	52
GCA_049744535.1_ASM4974453v1	GCA_049744815.1_ASM4974481v1	40
GCA_049744535.1_ASM4974453v1	GCA_049744875.1_ASM4974487v1	51
GCA_049744535.1_ASM4974453v1	GCA_049744915.1_ASM4974491v1	63
GCA_049744535.1_ASM4974453v1	GCA_049744935.1_ASM4974493v1	54
GCA_049744535.1_ASM4974453v1	GCA_049744995.1_ASM4974499v1	45
GCA_049744535.1_ASM4974453v1	GCA_049745015.1_ASM4974501v1	54
GCA_049744535.1_ASM4974453v1	GCA_049745055.1_ASM4974505v1	52
GCA_049744535.1_ASM4974453v1	GCA_049745115.1_ASM4974511v1	51
GCA_049744535.1_ASM4974453v1	GCA_049745135.1_ASM4974513v1	58
GCA_049744535.1_ASM4974453v1	GCA_049745155.1_ASM4974515v1	50
GCA_049744535.1_ASM4974453v1	GCA_049745215.1_ASM4974521v1	58
GCA_049744535.1_ASM4974453v1	GCA_049745255.1_ASM4974525v1	57
GCA_049744535.1_ASM4974453v1	GCA_049745275.1_ASM4974527v1	65
GCA_049744535.1_ASM4974453v1	GCA_049745315.1_ASM4974531v1	60
GCA_049744535.1_ASM4974453v1	GCA_049745375.1_ASM4974537v1	63
GCA_049744535.1_ASM4974453v1	GCA_049745395.1_ASM4974539v1	52
GCA_049744555.1_ASM4974455v1	GCA_049744075.1_ASM4974407v1	58
GCA_049744555.1_ASM4974455v1	GCA_049744095.1_ASM4974409v1	0
GCA_049744555.1_ASM4974455v1	GCA_049744115.1_ASM4974411v1	68
GCA_049744555.1_ASM4974455v1	GCA_049744195.1_ASM4974419v1	55
GCA_049744555.1_ASM4974455v1	GCA_049744215.1_ASM4974421v1	51
GCA_049744555.1_ASM4974455v1	GCA_049744235.1_ASM4974423v1	0
GCA_049744555.1_ASM4974455v1	GCA_049744295.1_ASM4974429v1	58
GCA_049744555.1_ASM4974455v1	GCA_049744305.1_ASM4974430v1	36
GCA_049744555.1_ASM4974455v1	GCA_049744355.1_ASM4974435v1	0
GCA_049744555.1_ASM4974455v1	GCA_049744415.1_ASM4974441v1	0
GCA_049744555.1_ASM4974455v1	GCA_049744425.1_ASM4974442v1	0
GCA_049744555.1_ASM4974455v1	GCA_049744475.1_ASM4974447v1	0
GCA_049744555.1_ASM4974455v1	GCA_049744535.1_ASM4974453v1	51
GCA_049744555.1_ASM4974455v1	GCA_049744555.1_ASM4974455v1	0
GCA_049744555.1_ASM4974455v1	GCA_049744575.1_ASM4974457v1	0
GCA_049744555.1_ASM4974455v1	GCA_049744655.1_ASM4974465v1	0
GCA_049744555.1_ASM4974455v1	GCA_049744675.1_ASM4974467v1	0
GCA_049744555.1_ASM4974455v1	GCA_049744695.1_ASM4974469v1	0
GCA_049744555.1_ASM4974455v1	GCA_049744775.1_ASM4974477v1	0
GCA_049744555.1_ASM4974455v1	GCA_049744795.1_ASM4974479v1	1
GCA_049744555.1_ASM4974455v1	GCA_049744815.1_ASM4974481v1	53
GCA_049744555.1_ASM4974455v1	GCA_049744875.1_ASM4974487v1	0
GCA_049744555.1_ASM4974455v1	GCA_049744915.1_ASM4974491v1	58
GCA_049744555.1_ASM4974455v1	GCA_049744935.1_ASM4974493v1	57
GCA_049744555.1_ASM4974455v1	GCA_049744995.1_ASM4974499v1	48
GCA_049744555.1_ASM4974455v1	GCA_049745015.1_ASM4974501v1	49
GCA_049744555.1_ASM4974455v1	GCA_049745055.1_ASM4974505v1	55
GCA_049744555.1_ASM4974455v1	GCA_049745115.1_ASM4974511v1	54
GCA_049744555.1_ASM4974455v1	GCA_049745135.1_ASM4974513v1	61
GCA_049744555.1_ASM4974455v1	GCA_049745155.1_ASM4974515v1	53
GCA_049744555.1_ASM4974455v1	GCA_049745215.1_ASM4974521v1	61
GCA_049744555.1_ASM4974455v1	GCA_049745255.1_ASM4974525v1	60
GCA_049744555.1_ASM4974455v1	GCA_049745275.1_ASM4974527v1	60
GCA_049744555.1_ASM4974455v1	GCA_049745315.1_ASM4974531v1	63
GCA_049744555.1_ASM4974455v1	GCA_049745375.1_ASM4974537v1	58
GCA_049744555.1_ASM4974455v1	GCA_049745395.1_ASM4974539v1	55
GCA_049744575.1_ASM4974457v1	GCA_049744075.1_ASM4974407v1	58
GCA_049744575.1_ASM4974457v1	GCA_049744095.1_ASM4974409v1	0
GCA_049744575.1_ASM4974457v1	GCA_049744115.1_ASM4974411v1	68
GCA_049744575.1_ASM4974457v1	GCA_049744195.1_ASM4974419v1	55
GCA_049744575.1_ASM4974457v1	GCA_049744215.1_ASM4974421v1	51
GCA_049744575.1_ASM4974457v1	GCA_049744235.1_ASM4974423v1	0
GCA_049744575.1_ASM4974457v1	GCA_049744295.1_ASM4974429v1	58
GCA_049744575.1_ASM4974457v1	GCA_049744305.1_ASM4974430v1	36
GCA_049744575.1_ASM4974457v1	GCA_049744355.1_ASM4974435v1	0
GCA_049744575.1_ASM4974457v1	GCA_049744415.1_ASM4974441v1	0
GCA_049744575.1_ASM4974457v1	GCA_049744425.1_ASM4974442v1	0
GCA_049744575.1_ASM4974457v1	GCA_049744475.1_ASM4974447v1	0
GCA_049744575.1_ASM4974457v1	GCA_049744535.1_ASM4974453v1	51
GCA_049744575.1_ASM4974457v1	GCA_049744555.1_ASM4974455v1	0
GCA_049744575.1_ASM4974457v1	GCA_049744575.1_ASM4974457v1	0
GCA_049744575.1_ASM4974457v1	GCA_049744655.1_ASM4974465v1	0
GCA_049744575.1_ASM4974457v1	GCA_049744675.1_ASM4974467v1	0
GCA_049744575.1_ASM4974457v1	GCA_049744695.1_ASM4974469v1	0
GCA_049744575.1_ASM4974457v1	GCA_049744775.1_ASM4974477v1	0
GCA_049744575.1_ASM4974457v1	GCA_049744795.1_ASM4974479v1	1
GCA_049744575.1_ASM4974457v1	GCA_049744815.1_ASM4974481v1	53
GCA_049744575.1_ASM4974457v1	GCA_049744875.1_ASM4974487v1	0
GCA_049744575.1_ASM4974457v1	GCA_049744915.1_ASM4974491v1	58
GCA_049744575.1_ASM4974457v1	GCA_049744935.1_ASM4974493v1	57
GCA_049744575.1_ASM4974457v1	GCA_049744995.1_ASM4974499v1	48
GCA_049744575.1_ASM4974457v1	GCA_049745015.1_ASM4974501v1	49
GCA_049744575.1_ASM4974457v1	GCA_049745055.1_ASM4974505v1	55
GCA_049744575.1_ASM4974457v1	GCA_049745115.1_ASM4974511v1	54
GCA_049744575.1_ASM4974457v1	GCA_049745135.1_ASM4974513v1	61
GCA_049744575.1_ASM4974457v1	GCA_049745155.1_ASM4974515v1	53
GCA_049744575.1_ASM4974457v1	GCA_049745215.1_ASM4974521v1	61
GCA_049744575.1_ASM4974457v1	GCA_049745255.1_ASM4974525v1	60
GCA_049744575.1_ASM4974457v1	GCA_049745275.1_ASM4974527v1	60
GCA_049744575.1_ASM4974457v1	GCA_049745315.1_ASM4974531v1	63
GCA_049744575.1_ASM4974457v1	GCA_049745375.1_ASM4974537v1	58
GCA_049744575.1_ASM4974457v1	GCA_049745395.1_ASM4974539v1	55
GCA_049744655.1_ASM4974465v1	GCA_049744075.1_ASM4974407v1	58
GCA_049744655.1_ASM4974465v1	GCA_049744095.1_ASM4974409v1	0
GCA_049744655.1_ASM4974465v1	GCA_049744115.1_ASM4974411v1	68
GCA_049744655.1_ASM4974465v1	GCA_049744195.1_ASM4974419v1	55
GCA_049744655.1_ASM4974465v1	GCA_049744215.1_ASM4974421v1	51
GCA_049744655.1_ASM4974465v1	GCA_049744235.1_ASM4974423v1	0
GCA_049744655.1_ASM4974465v1	GCA_049744295.1_ASM4974429v1	58
GCA_049744655.1_ASM4974465v1	GCA_049744305.1_ASM4974430v1	36
GCA_049744655.1_ASM4974465v1	GCA_049744355.1_ASM4974435v1	0
GCA_049744655.1_ASM4974465v1	GCA_049744415.1_ASM4974441v1	0
GCA_049744655.1_ASM4974465v1	GCA_049744425.1_ASM4974442v1	0
GCA_049744655.1_ASM4974465v1	GCA_049744475.1_ASM4974447v1	0
GCA_049744655.1_ASM4974465v1	GCA_049744535.1_ASM4974453v1	51
GCA_049744655.1_ASM4974465v1	GCA_049744555.1_ASM4974455v1	0
GCA_049744655.1_ASM4974465v1	GCA_049744575.1_ASM4974457v1	0
GCA_049744655.1_ASM4974465v1	GCA_049744655.1_ASM4974465v1	0
GCA_049744655.1_ASM4974465v1	GCA_049744675.1_ASM4974467v1	0
GCA_049744655.1_ASM4974465v1	GCA_049744695.1_ASM4974469v1	0
GCA_049744655.1_ASM4974465v1	GCA_049744775.1_ASM4974477v1	0
GCA_049744655.1_ASM4974465v1	GCA_049744795.1_ASM4974479v1	1
GCA_049744655.1_ASM4974465v1	GCA_049744815.1_ASM4974481v1	53
GCA_049744655.1_ASM4974465v1	GCA_049744875.1_ASM4974487v1	0
GCA_049744655.1_ASM4974465v1	GCA_049744915.1_ASM4974491v1	58
GCA_049744655.1_ASM4974465v1	GCA_049744935.1_ASM4974493v1	57
GCA_049744655.1_ASM4974465v1	GCA_049744995.1_ASM4974499v1	48
GCA_049744655.1_ASM4974465v1	GCA_049745015.1_ASM4974501v1	49
GCA_049744655.1_ASM4974465v1	GCA_049745055.1_ASM4974505v1	55
GCA_049744655.1_ASM4974465v1	GCA_049745115.1_ASM4974511v1	54
GCA_049744655.1_ASM4974465v1	GCA_049745135.1_ASM4974513v1	61
GCA_049744655.1_ASM4974465v1	GCA_049745155.1_ASM4974515v1	53
GCA_049744655.1_ASM4974465v1	GCA_049745215.1_ASM4974521v1	61
GCA_049744655.1_ASM4974465v1	GCA_049745255.1_ASM4974525v1	60
GCA_049744655.1_ASM4974465v1	GCA_049745275.1_ASM4974527v1	60
GCA_049744655.1_ASM4974465v1	GCA_049745315.1_ASM4974531v1	63
GCA_049744655.1_ASM4974465v1	GCA_049745375.1_ASM4974537v1	58
GCA_049744655.1_ASM4974465v1	GCA_049745395.1_ASM4974539v1	55
GCA_049744675.1_ASM4974467v1	GCA_049744075.1_ASM4974407v1	58
GCA_049744675.1_ASM4974467v1	GCA_049744095.1_ASM4974409v1	0
GCA_049744675.1_ASM4974467v1	GCA_049744115.1_ASM4974411v1	68
GCA_049744675.1_ASM4974467v1	GCA_049744195.1_ASM4974419v1	55
GCA_049744675.1_ASM4974467v1	GCA_049744215.1_ASM4974421v1	51
GCA_049744675.1_ASM4974467v1	GCA_049744235.1_ASM4974423v1	0
GCA_049744675.1_ASM4974467v1	GCA_049744295.1_ASM4974429v1	58
GCA_049744675.1_ASM4974467v1	GCA_049744305.1_ASM4974430v1	36
GCA_049744675.1_ASM4974467v1	GCA_049744355.1_ASM4974435v1	0
GCA_049744675.1_ASM4974467v1	GCA_049744415.1_ASM4974441v1	0
GCA_049744675.1_ASM4974467v1	GCA_049744425.1_ASM4974442v1	0
GCA_049744675.1_ASM4974467v1	GCA_049744475.1_ASM4974447v1	0
GCA_049744675.1_ASM4974467v1	GCA_049744535.1_ASM4974453v1	51
GCA_049744675.1_ASM4974467v1	GCA_049744555.1_ASM4974455v1	0
GCA_049744675.1_ASM4974467v1	GCA_049744575.1_ASM4974457v1	0
GCA_049744675.1_ASM4974467v1	GCA_049744655.1_ASM4974465v1	0
GCA_049744675.1_ASM4974467v1	GCA_049744675.1_ASM4974467v1	0
GCA_049744675.1_ASM4974467v1	GCA_049744695.1_ASM4974469v1	0
GCA_049744675.1_ASM4974467v1	GCA_049744775.1_ASM4974477v1	0
GCA_049744675.1_ASM4974467v1	GCA_049744795.1_ASM4974479v1	1
GCA_049744675.1_ASM4974467v1	GCA_049744815.1_ASM4974481v1	53
GCA_049744675.1_ASM4974467v1	GCA_049744875.1_ASM4974487v1	0
GCA_049744675.1_ASM4974467v1	GCA_049744915.1_ASM4974491v1	58
GCA_049744675.1_ASM4974467v1	GCA_049744935.1_ASM4974493v1	57
GCA_049744675.1_ASM4974467v1	GCA_049744995.1_ASM4974499v1	48
GCA_049744675.1_ASM4974467v1	GCA_049745015.1_ASM4974501v1	49
GCA_049744675.1_ASM4974467v1	GCA_049745055.1_ASM4974505v1	55
GCA_049744675.1_ASM4974467v1	GCA_049745115.1_ASM4974511v1	54
GCA_049744675.1_ASM4974467v1	GCA_049745135.1_ASM4974513v1	61
GCA_049744675.1_ASM4974467v1	GCA_049745155.1_ASM4974515v1	53
GCA_049744675.1_ASM4974467v1	GCA_049745215.1_ASM4974521v1	61
GCA_049744675.1_ASM4974467v1	GCA_049745255.1_ASM4974525v1	60
GCA_049744675.1_ASM4974467v1	GCA_049745275.1_ASM4974527v1	60
GCA_049744675.1_ASM4974467v1	GCA_049745315.1_ASM4974531v1	63
GCA_049744675.1_ASM4974467v1	GCA_049745375.1_ASM4974537v1	58
GCA_049744675.1_ASM4974467v1	GCA_049745395.1_ASM4974539v1	55
GCA_049744695.1_ASM4974469v1	GCA_049744075.1_ASM4974407v1	58
GCA_049744695.1_ASM4974469v1	GCA_049744095.1_ASM4974409v1	0
GCA_049744695.1_ASM4974469v1	GCA_049744115.1_ASM4974411v1	68
GCA_049744695.1_ASM4974469v1	GCA_049744195.1_ASM4974419v1	55
GCA_049744695.1_ASM4974469v1	GCA_049744215.1_ASM4974421v1	51
GCA_049744695.1_ASM4974469v1	GCA_049744235.1_ASM4974423v1	0
GCA_049744695.1_ASM4974469v1	GCA_049744295.1_ASM4974429v1	58
GCA_049744695.1_ASM4974469v1	GCA_049744305.1_ASM4974430v1	36
GCA_049744695.1_ASM4974469v1	GCA_049744355.1_ASM4974435v1	0
GCA_049744695.1_ASM4974469v1	GCA_049744415.1_ASM4974441v1	0
GCA_049744695.1_ASM4974469v1	GCA_049744425.1_ASM4974442v1	0
GCA_049744695.1_ASM4974469v1	GCA_049744475.1_ASM4974447v1	0
GCA_049744695.1_ASM4974469v1	GCA_049744535.1_ASM4974453v1	51
GCA_049744695.1_ASM4974469v1	GCA_049744555.1_ASM4974455v1	0
GCA_049744695.1_ASM4974469v1	GCA_049744575.1_ASM4974457v1	0
GCA_049744695.1_ASM4974469v1	GCA_049744655.1_ASM4974465v1	0
GCA_049744695.1_ASM4974469v1	GCA_049744675.1_ASM4974467v1	0
GCA_049744695.1_ASM4974469v1	GCA_049744695.1_ASM4974469v1	0
GCA_049744695.1_ASM4974469v1	GCA_049744775.1_ASM4974477v1	0
GCA_049744695.1_ASM4974469v1	GCA_049744795.1_ASM4974479v1	1
GCA_049744695.1_ASM4974469v1	GCA_049744815.1_ASM4974481v1	53
GCA_049744695.1_ASM4974469v1	GCA_049744875.1_ASM4974487v1	0
GCA_049744695.1_ASM4974469v1	GCA_049744915.1_ASM4974491v1	58
GCA_049744695.1_ASM4974469v1	GCA_049744935.1_ASM4974493v1	57
GCA_049744695.1_ASM4974469v1	GCA_049744995.1_ASM4974499v1	48
GCA_049744695.1_ASM4974469v1	GCA_049745015.1_ASM4974501v1	49
GCA_049744695.1_ASM4974469v1	GCA_049745055.1_ASM4974505v1	55
GCA_049744695.1_ASM4974469v1	GCA_049745115.1_ASM4974511v1	54
GCA_049744695.1_ASM4974469v1	GCA_049745135.1_ASM4974513v1	61
GCA_049744695.1_ASM4974469v1	GCA_049745155.1_ASM4974515v1	53
GCA_049744695.1_ASM4974469v1	GCA_049745215.1_ASM4974521v1	61
GCA_049744695.1_ASM4974469v1	GCA_049745255.1_ASM4974525v1	60
GCA_049744695.1_ASM4974469v1	GCA_049745275.1_ASM4974527v1	60
GCA_049744695.1_ASM4974469v1	GCA_049745315.1_ASM4974531v1	63
GCA_049744695.1_ASM4974469v1	GCA_049745375.1_ASM4974537v1	58
GCA_049744695.1_ASM4974469v1	GCA_049745395.1_ASM4974539v1	55
